Power,Thickness,Scan Speed,SOD,Angle
200,2,200,40,1.5
260,2,200,40,8
300,2,200,40,9
360,2,200,40,10
400,2,200,40,13
460,2,200,40,13
500,2,200,40,11
200,2,200,60,1
260,2,200,60,7.5
300,2,200,60,9
360,2,200,60,10
400,2,200,60,13
460,2,200,60,13
500,2,200,60,13
200,2,200,80,0.5
260,2,200,80,5
300,2,200,80,8
360,2,200,80,9
400,2,200,80,13
460,2,200,80,14
500,2,200,80,17
200,2,400,40,1
260,2,400,40,5
300,2,400,40,8.5
360,2,400,40,11
400,2,400,40,12
460,2,400,40,12.5
500,2,400,40,13
200,2,400,60,0.5
260,2,400,60,2.5
300,2,400,60,6
360,2,400,60,11
400,2,400,60,13.5
460,2,400,60,14.5
500,2,400,60,15.5
200,2,400,80,0
260,2,400,80,1
300,2,400,80,4
360,2,400,80,8
400,2,400,80,11.5
460,2,400,80,14
500,2,400,80,15
400,8,200,40,1
460,8,200,40,1
500,8,200,40,1
560,8,200,40,2
600,8,200,40,3
660,8,200,40,2
700,8,200,40,1.5
400,8,200,60,0
460,8,200,60,1
500,8,200,60,1
560,8,200,60,1.5
600,8,200,60,2
660,8,200,60,1
700,8,200,60,1
400,8,200,80,0
460,8,200,80,1
500,8,200,80,1
560,8,200,80,1.5
600,8,200,80,2
660,8,200,80,1.5
700,8,200,80,2
400,8,400,40,0
460,8,400,40,0
500,8,400,40,0.5
560,8,400,40,0.5
600,8,400,40,0.5
660,8,400,40,0.5
700,8,400,40,0.5
400,8,400,60,0
460,8,400,60,0
500,8,400,60,0
560,8,400,60,0
600,8,400,60,0.5
660,8,400,60,0.5
700,8,400,60,0.5
400,8,400,80,0
460,8,400,80,0
500,8,400,80,0
560,8,400,80,0
600,8,400,80,0
660,8,400,80,0.5
700,8,400,80,0.5
300,4,200,40,2
360,4,200,40,4
400,4,200,40,5
460,4,200,40,6
500,4,200,40,8
560,4,200,40,10
600,4,200,40,9
300,4,400,40,0.5
360,4,400,40,2
400,4,400,40,3.5
460,4,400,40,5
500,4,400,40,6
560,4,400,40,7
600,4,400,40,6.5
300,4,200,60,0.5
360,4,200,60,2
400,4,200,60,4
460,4,200,60,6
500,4,200,60,9
560,4,200,60,10
600,4,200,60,9
300,4,400,60,0.5
360,4,400,60,2
400,4,400,60,3
460,4,400,60,4.5
500,4,400,60,5.5
560,4,400,60,7
600,4,400,60,9
300,4,200,80,0.5
360,4,200,80,1
400,4,200,80,3
460,4,200,80,5
500,4,200,80,7
560,4,200,80,9
600,4,200,80,10
300,4,400,80,0.5
360,4,400,80,1.5
400,4,400,80,2.5
460,4,400,80,4
500,4,400,80,5.5
560,4,400,80,6.5
600,4,400,80,7.5
300,5,200,40,0.5
360,5,200,40,1.5
400,5,200,40,2
460,5,200,40,4
500,5,200,40,4.5
560,5,200,40,5.5
600,5,200,40,6.5
300,5,400,40,0.5
360,5,400,40,1.5
400,5,400,40,2
460,5,400,40,3
500,5,400,40,3.5
560,5,400,40,4
600,5,400,40,4.5
300,5,600,40,0
360,5,600,40,0
400,5,600,40,0.5
460,5,600,40,1.5
500,5,600,40,2
560,5,600,40,3
600,5,600,40,3.5